Wavelength,S1c / R1c
nm,CPS / MicroAmps
420,0.1884734929
421.0700073,0.1601088792
422,0.2096318901
423.0700073,0.1876633018
424,0.2412100285
425.0700073,0.1618051678
426,0.119472526
427.0700073,0.2394385189
428,0.287666291
429.0700073,0.2764078677
430,0.1560615748
431.0599976,0.1609222293
431.9599915,0.2168037295
433.0299988,0.1787709445
433.9299927,0.2683312595
435,0.0877500847
436.0599976,0.2459865361
436.9599915,0.2256094962
438.0299988,0.2256572396
438.9299927,0.2171169668
440,0.2865616977
441.0599976,0.2762163877
441.9599915,0.2562313974
443.0299988,0.2466357201
443.9299927,0.2319647521
445,0.2536211312
446.0599976,0.3293175101
446.9599915,0.2354635745
448.0299988,0.3020443022
448.9299927,0.3714232445
450,0.2706319094
451.0700073,0.2557429373
452,0.2730046809
453.0700073,0.3296374083
454,0.460680902
455.0700073,0.533562541
456,0.4814274311
457.0700073,0.5344567299
458,0.6966270208
459.0700073,0.4432095289
460,0.5923720598
461.0599976,0.8146700263
461.9599915,0.8934735656
463.0299988,1.051770568
463.9299927,1.17903924
465,1.494030714
466.0599976,1.711175919
466.9599915,1.869801283
468.0299988,2.535291433
468.9299927,2.517974615
470,2.997583389
471.0400085,3.432930708
471.9400024,3.824535131
472.980011,4.530939579
474.019989,5.644105434
475.0700073,6.248856544
475.9700012,7.125487328
477.0100098,8.567546844
478.0499878,9.624094009
478.9500122,11.39843464
480,13.30748844
481.0599976,16.39657021
481.9599915,18.211092
483.0299988,21.18037987
483.9299927,24.94878006
485,29.36705971
486.0599976,33.58187485
486.9599915,39.42987061
488.0299988,45.15247726
488.9299927,51.67876053
490,60.39903641
491.0599976,67.87651062
491.9599915,77.46985626
493.0299988,85.97149658
493.9299927,96.05625153
495,104.7380447
496.0599976,117.2744141
496.9599915,125.6437149
498.0299988,138.0976563
498.9299927,145.7352295
500,157.1235962
501.0400085,170.4510651
501.9400024,176.7507782
502.980011,180.3650055
504.019989,188.2789001
505.0700073,192.9667969
505.9700012,190.2230377
507.0100098,189.3932648
508.0499878,182.0029449
508.9500122,177.0742645
510,171.4432373
511.0599976,163.5449677
511.9599915,155.6140442
513.0300293,143.2293701
513.9299927,132.5875244
515,121.7314758
516.0599976,111.5535736
516.960022,104.5472641
518.0300293,95.21902466
518.9299927,87.32706451
520,78.66672516
521.039978,72.42071533
521.9400024,66.27944183
522.9799805,61.08351135
524.0200195,54.85625839
525.0700073,50.06813049
525.9699707,46.27349854
527.0100098,43.36782074
528.0499878,38.12726212
528.9500122,35.78653717
530,32.48860168
531.039978,29.81949425
531.9400024,27.01106644
532.9799805,24.95242119
534.0200195,22.50719643
535.0700073,20.77160645
535.9699707,19.39304924
537.0100098,17.40973282
538.0499878,16.18085861
538.9500122,14.38141155
540,13.43992424
541.039978,12.83104229
541.9400024,11.73462486
542.9799805,10.63175488
544.0200195,10.03124237
545.0700073,8.940172195
545.9699707,8.241189957
547.0100098,7.522353649
548.0499878,6.980222702
548.9500122,6.839416981
550,6.501866817
