Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1,Normalized1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps,
420,-24.9443035125732,420,-54.1939910737779,420,30,420,0.458591129677783,0.000172429610766
421,26.970138835907,421,58.7214450155044,421,80,421,0.45763950174437,0.000613972631703
422,37.2700830459595,422,80.9380201412028,422,90,422,0.458782494197227,0.000700848031875
423,-14.4654599189758,423,-31.4679136526639,423,40,423,0.458024318137837,0.000261297361944
424,16.4994270324707,424,35.8375611699117,424,70,424,0.4587035371194,0.000524487796379
425,-45.283974647522,425,-98.2892745935241,425,10,425,0.45901793944924,0
426,-4.10740489959717,426,-8.93842749912918,426,50,426,0.457863464042796,0.000349396365242
427,47.1279755592346,427,102.618819273047,427,100,427,0.457604202206151,0.000785628340719
428,16.3550590515137,428,35.5375827637804,428,70,428,0.45853398813753,0.000523314764805
429,-4.07944469451904,429,-8.88175196750829,429,50,429,0.457655750208334,0.000349617988488
430,77.3323678970337,430,168.152405104003,430,130,430,0.458221952827253,0.001041890003985
431,46.76559882164,431,101.657696928397,431,100,431,0.458352455999913,0.000781869980674
432,36.5672069549561,432,79.6115487483118,432,90,432,0.457669298581993,0.000695661015765
433,56.8326105117798,433,123.375546816401,433,110,433,0.458946571234496,0.000866795172303
434,46.6430956840515,434,101.478298089941,434,100,434,0.457973270099395,0.000781168461839
435,-4.05237054824829,435,-8.81417674314788,435,50,435,0.458088613427283,0.000349882233747
436,-4.04707307815552,436,-8.78662654243907,436,50,436,0.458895895367443,0.000349989965686
437,66.6892975330353,437,145.069994973237,437,120,437,0.45803883782875,0.000951628854114
438,56.5106939315796,438,122.865456809006,438,110,438,0.458265394836474,0.000864800523116
439,-24.1870840072632,439,-52.4552911101844,439,30,439,0.459381424056412,0.000179228600001
440,86.5564887523651,440,188.585355608503,440,140,440,0.457339515631783,0.001121790742138
441,56.2910013198853,441,122.268881641891,441,110,441,0.458696004761518,0.000862467683509
442,156.61184835434,442,339.826950202443,442,210,442,0.459149065609624,0.001713203864038
443,146.386572599411,443,319.290850457715,443,200,443,0.456854631626627,0.001632899772466
444,86.1181132793427,444,186.878785952031,444,140,444,0.459116078493116,0.001115117394829
445,66.0065381526947,445,143.614093665433,445,120,445,0.457948517245039,0.000945935716985
446,116.009187507629,446,252.319720941897,446,170,446,0.458102670109333,0.001371016757477
447,146.008663988113,447,316.998399758789,447,200,447,0.458898630028441,0.001623935403714
448,236.009317779541,448,513.627132119072,448,290,448,0.457837795661131,0.00239282978606
449,236.004630756378,449,513.036587733521,449,290,449,0.458338133242739,0.002390520529142
450,225.999946117401,450,490.621212445582,450,280,450,0.458939934376763,0.002302867743457
451,356.663670349121,451,775.542220666284,451,410,451,0.458217063816056,0.003417019068158
452,568.110457515717,452,1234.11820754175,452,620,452,0.458648036614164,0.005210228513975
453,468.606433296204,453,1017.65436338473,453,520,453,0.458782661328644,0.004363771174015
454,590.37020368576,454,1285.04882061805,454,640,454,0.457760003258019,0.005409386906616
455,843.79333114624,455,1831.93350748231,455,890,455,0.458903555994516,0.007547917519481
456,966.834428405762,456,2099.86365655387,456,1010,456,0.458734758031141,0.008595628014328
457,1445.02854652405,457,3146.30032978225,457,1480,457,0.45762912123825,0.012687600076948
458,1732.19549255371,458,3759.00630900215,458,1760,458,0.459105197784837,0.01508351739685
459,2101.87781944275,459,4564.37715862553,459,2120,459,0.458801029333696,0.018232828865971
460,2625.91452026367,460,5716.93465356915,460,2630,460,0.457670967750401,0.022739774379762
461,3563.71313281059,461,7731.0341560483,461,3540,461,0.459249537102371,0.030615682312209
462,4701.6089009285,462,10226.1925049686,462,4640,462,0.458093851721684,0.04037271636578
463,6678.7017036438,463,14541.0304544245,463,6550,463,0.457650103979759,0.057245401350563
464,9182.45498828888,464,19903.7937068626,464,8960,464,0.45961525473787,0.078215879515977
465,12051.8097925186,465,26282.9231337672,465,11710,465,0.456919504842687,0.103160742465209
466,15345.2890529633,466,33337.0528668906,466,14860,466,0.458619311229594,0.130745117642913
467,21417.7514104843,467,46544.5276227217,467,20670,467,0.45847382321139,0.182391451435753
468,28383.1950016022,468,61862.7126658304,468,27310,468,0.45717744321785,0.242291478690215
469,35924.175573349,469,78018.8889897811,469,34470,469,0.458761331926535,0.305468375914597
470,46335.9109640121,470,100894.542367292,470,44340,470,0.457602430756176,0.394921026925166
471,58578.2721977711,471,127529.990382074,471,55780,471,0.457677966289105,0.499075928927605
472,70140.5907798767,472,152250.030728275,472,66470,472,0.458991003634457,0.595740846233523
473,82009.1680797577,473,178606.874806294,473,77350,473,0.457515106617054,0.698806299103552
474,93888.3507339478,474,203972.712441911,474,88140,474,0.45861091388914,0.797996533549066
475,100969.071759224,475,219000.724117249,475,94350,475,0.459328897346,0.856761870721835
476,109129.383570385,476,237974.682670099,476,101650,476,0.456952376326188,0.930957386133241
477,114806.885073805,477,249435.196235974,477,106600,477,0.458580880063459,0.975772426101362
478,116486.060395575,478,252995.244091249,478,107820,478,0.458735360514868,0.989693589931025
479,117349.422714758,479,255630.893919856,479,108280,479,0.457416790189761,1
480,114789.696540833,480,248861.915157454,480,105590,480,0.459535014968136,0.973530675389304
481,111192.99140811,481,241805.691260826,481,102000,481,0.45817371097538,0.945938111222461
482,106043.371179104,482,231016.910240018,482,97010,482,0.457388439837603,0.903749805273018
483,101291.323831081,483,219639.579886434,483,92410,483,0.459450344904535,0.859260043832953
484,94751.8414282799,484,206311.661921981,484,86210,484,0.457616529638313,0.807142730517487
485,87083.1220829487,485,189130.210221759,485,79020,485,0.458747081648606,0.73995661008493
486,79533.4865209579,486,172517.198151018,486,72030,486,0.459303158869276,0.674993308426437
487,74123.1173478603,487,161556.308617906,487,67000,487,0.457174833011345,0.632131991637351
488,67425.8078924179,488,146204.87166705,488,60830,488,0.459453076227673,0.572101936564662
489,61179.255933094,489,133058.093184846,489,55090,489,0.458124790345839,0.520692948673721
490,55096.713313818,490,120008.27432531,490,49520,490,0.457464495599851,0.46966311040292
491,50192.7531475067,491,108870.667615439,491,45030,491,0.459315939058302,0.426110761113937
492,45906.7437141418,492,99948.1110876967,492,41110,492,0.457655229502177,0.391220114625001
493,41480.5679201603,493,90217.8861018685,493,37080,493,0.45811373463833,0.353171172129339
494,38664.5645740986,494,83859.3627494062,494,34500,494,0.459348061192238,0.328306886899806
495,33307.0024852753,495,72699.5457025727,495,29670,495,0.456538794255413,0.284667686604281
496,30387.0545965195,496,65992.5332032447,496,27020,496,0.458768228898928,0.258440674045342
497,27703.6540719986,497,60218.326837435,497,24590,497,0.458375029231702,0.23586129419639
498,25846.5735552788,498,56361.5669412299,498,22900,498,0.456961496790165,0.220779871544395
499,22394.9262732506,499,48592.596781257,499,19810,499,0.459162070627362,0.190400193859875
500,19610.9431037903,500,42660.5132933926,500,17320,500,0.458032577910776,0.167203453410609
501,19309.7798475265,501,42045.1487877328,501,16990,501,0.457614032919048,0.164797140224241
502,17540.7724240303,502,38039.1949068704,502,15380,502,0.459405120954922,0.149132311397035
503,15803.715557766,503,34413.3282296473,503,13810,503,0.457584614451696,0.134953770520587
504,14352.8370729446,504,31234.8544859316,504,12500,504,0.457855186626883,0.122524709026659
505,13585.0988702774,505,29494.0142607423,505,11790,505,0.458906144266512,0.115717350541235
506,11909.3909164429,506,25963.2901459931,506,10310,506,0.457073222831508,0.101910853876893
507,11061.5702001572,507,24052.1826996784,507,9550,507,0.458226092250465,0.09443768471238
508,10453.5843775749,508,22710.0871567224,508,9000,508,0.458617840425436,0.089189572134101
509,9314.10029330254,509,20284.7185176129,509,8000,509,0.457522932468195,0.079705442834453
510,8743.46395111084,510,18971.7565890276,510,7490,510,0.459158445473005,0.0745712539547
511,8098.21225471497,511,17571.0712124184,511,6910,511,0.45917370354623,0.069094032469406
512,7185.7066444397,512,15667.3191491905,512,6110,512,0.457017276483546,0.061649625697183
513,7265.82597885132,513,15766.8369017604,513,6150,513,0.459122119542843,0.062038778594505
514,6220.95155410767,514,13520.3406213978,514,5250,514,0.458437046193294,0.053254109389761
515,5984.21235275269,515,13030.7292236181,515,5030,515,0.457590465481822,0.051339539485522
516,5613.87376203537,516,12165.7456579637,516,4700,516,0.45971850666798,0.047957119243728
517,4778.43457489014,517,10414.3298874298,517,3990,517,0.457199808787064,0.041108406286309
518,4532.56220264435,518,9862.17478157125,518,3770,518,0.457929349345686,0.038949266297039
519,4161.63270435333,519,9037.92983117643,519,3450,519,0.458769225011713,0.035726149795047
520,3590.06373310089,520,7823.5941374695,520,2970,520,0.457242048451437,0.030977627633681
521,3619.88123178482,521,7863.56433066641,521,2980,521,0.458646866932659,0.03113392654606
522,3252.01801872253,522,7060.69043861779,522,2670,522,0.458882515317295,0.027994379146661
523,3017.84741592407,523,6578.66058373395,523,2470,523,0.457103697731544,0.026109456007023
524,2743.6309056282,524,5952.31607031409,524,2240,524,0.459223542087265,0.023660206744206
525,2617.99124622345,525,5691.95631875293,525,2130,525,0.458271298318685,0.022642099431193
526,2377.80588302612,526,5173.16828061003,526,1930,526,0.45797897474052,0.020613437580158
527,2071.36059923172,527,4494.48329226562,527,1680,527,0.459158405418686,0.017959516819662
528,1902.54343967438,528,4140.82291385123,528,1540,528,0.457803914236567,0.01657656797512
529,1628.99287977219,529,3542.05140172417,529,1320,529,0.458228172690907,0.014235139810186
530,1701.76776123047,530,3690.48552276435,530,1370,530,0.45940449605985,0.014815574624805
531,2036.65130610466,531,4436.61762741807,531,1620,531,0.457413799705638,0.017733239692724
532,1577.38847150803,532,3430.71919397468,532,1260,532,0.458115205442488,0.013799787824313
533,1467.93914995194,533,3185.69380334231,533,1170,533,0.459084947465176,0.012841643792522
534,1582.02656059265,534,3451.6390510147,534,1250,534,0.456726232021009,0.013881592555313
535,1564.28192424774,535,3394.46748196581,535,1230,535,0.459125140306125,0.013658029611363
536,1105.70462574959,536,2403.45747100224,536,880,536,0.45836923089208,0.009782797232389
537,1233.92455224991,537,2692.23829829738,537,970,537,0.45671273204632,0.010912041942312
538,984.116926145554,538,2132.56190061222,538,780,538,0.459740134570139,0.008723490793421
539,1099.37328562737,539,2394.2492507526,539,860,539,0.45752689641534,0.009746789530278
540,982.667367458344,540,2136.86609983488,540,770,540,0.458192392977688,0.008740321876869
541,850.795409965515,541,1846.3792665823,541,670,541,0.459085152743565,0.007604406023919
542,897.86396727562,542,1955.21991281347,542,700,542,0.45756670397188,0.008030015040738
543,707.693231725693,543,1538.05908603462,543,560,543,0.458439938687385,0.006398754886664
544,388.421464633942,544,843.670564089095,544,330,544,0.458703444374576,0.003683427237033
545,759.000157356262,545,1654.6302638839,545,590,545,0.457084486201592,0.006854593271604
546,607.036237764359,546,1317.58898274778,546,480,546,0.459014114261703,0.005536631524235
547,582.159469461441,547,1267.30447795988,547,460,547,0.457715398719851,0.00533999966486
548,686.778961086273,548,1494.38630993734,548,530,548,0.457912057085222,0.006227977443309
549,458.748439502716,549,993.865770531707,549,370,549,0.459844282715653,0.00427074857661
550,490.78115272522,550,1069.5105917938,550,390,550,0.457249107548457,0.004566549080554
