Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,198.51508,420,586.5961,420,280,420,0.34126
421,208.49992,421,614.35087,421,290,421,0.34218
422,384.08891,422,1131.96927,422,460,422,0.34211
423,300.67492,423,888.43661,423,380,423,0.34127
424,403.20475,424,1187.33483,424,480,424,0.34238
425,299.49174,425,883.38962,425,380,425,0.34184
426,493.91544,426,1457.62395,426,570,426,0.34167
427,462.05906,427,1361.33049,427,540,427,0.34222
428,450.78632,428,1329.00326,428,530,428,0.342
429,643.5324,429,1897.33932,429,720,429,0.34198
430,713.28934,430,2102.20584,430,790,430,0.34211
431,783.8321,431,2310.79905,431,860,431,0.34201
432,793.30524,432,2338.885,432,870,432,0.34199
433,1056.47763,433,3110.58855,433,1130,433,0.34243
434,1248.2098,434,3681.25349,434,1320,434,0.34188
435,1571.30668,435,4633.44937,435,1640,435,0.34193
436,1822.19465,436,5367.80347,436,1890,436,0.34226
437,2415.97137,437,7132.52357,437,2480,437,0.34155
438,3341.19478,438,9842.4001,438,3400,438,0.34227
439,3588.75859,439,10573.65541,439,3650,439,0.34221
440,4862.26043,440,14368.63435,440,4920,440,0.34123
441,5459.22193,441,16088.21026,441,5520,441,0.34213
442,6807.59579,442,20060.07989,442,6870,442,0.34216
443,8072.3171,443,23868.0301,443,8140,443,0.34105
444,10355.20244,444,30480.21196,444,10430,444,0.34252
445,12142.20272,445,35811.60546,445,12230,445,0.34187
446,14652.1604,446,43259.38798,446,14740,446,0.34153
447,16741.99345,447,49318.17942,447,16830,447,0.34227
448,20291.80113,448,59805.53346,448,20380,448,0.3421
449,23181.45485,449,68400.56583,449,23270,449,0.34173
450,26850.9936,450,79039.93959,450,26940,450,0.3425
451,30738.19683,451,90713.61063,451,30770,451,0.34167
452,36737.47501,452,108433.4974,452,36690,452,0.34162
453,41250.43884,453,121291.984,453,41110,453,0.34287
454,45286.23042,454,133731.8134,454,45040,454,0.34146
455,52546.32131,455,154871.7159,455,52150,455,0.34209
456,58739.23686,456,172870.975,456,58170,456,0.34257
457,63983.55362,457,189320.379,457,63230,457,0.34082
458,71065.70617,458,209142.0497,458,70080,458,0.34258
459,79538.67851,459,234245.1715,459,78270,459,0.34235
460,86077.19255,460,254559.0722,460,84530,460,0.34099
461,93581.71655,461,275254.7397,461,91630,461,0.34276
462,101353.1962,462,298911.9181,462,98950,462,0.34189
463,111953.5879,463,330460.3217,463,108980,463,0.3416
464,118044.9645,464,347525.9917,464,114580,464,0.34246
465,125006.5079,465,368614.2709,465,120990,465,0.34194
466,134176.4465,466,395833.1869,466,129550,466,0.34179
467,142183.4922,467,418054.9414,467,136950,467,0.34288
468,150435.3072,468,443550.6317,468,144550,468,0.34197
469,157670.3465,469,465048.0753,469,151140,469,0.34185
470,163619.5658,470,480968.0079,470,156470,470,0.34296
471,169420.3551,471,500391.9675,471,161260,471,0.34141
472,176662.0719,472,521128.3019,472,167370,472,0.34181
473,183899.9575,473,540774.435,473,173420,473,0.34284
474,188628.3327,474,557404.877,474,177060,474,0.34124
475,196411.9136,475,578444.3853,475,183520,475,0.34235
476,198020.6995,476,583200.6192,476,184440,476,0.34234
477,207781.8638,477,614211.8642,477,192920,477,0.34113
478,212152.5858,478,624446.263,478,196360,478,0.34253
479,215180.366,479,634124.7764,479,198540,479,0.34214
480,221105.2561,480,653165.1951,480,203370,480,0.34135
481,218785.5663,481,643409.2415,481,200680,481,0.34282
482,227791.5648,482,671111.2761,482,208360,482,0.34222
483,229133.8372,483,676617.5646,483,209010,483,0.34147
484,235769.935,484,692982.1205,484,214470,484,0.34299
485,237123.5721,485,699771.3572,485,215110,485,0.34168
486,241432.5748,486,712371.8055,486,218580,486,0.34173
487,246664.8075,487,725895.1128,487,222870,487,0.34259
488,249286.6668,488,736602.9382,488,224790,488,0.34126
489,253951.2718,489,749435.9701,489,228540,489,0.34168
490,257596.5711,490,757346.3803,490,231360,490,0.3429
491,263397.0071,491,778356.1865,491,236110,491,0.34124
492,269709.9464,492,794768.6545,492,241300,492,0.34216
493,277501.7057,493,816510.5224,493,247790,493,0.34265
494,279843.85,494,827525.0087,494,249400,494,0.34102
495,290920.0672,495,856821.8279,495,258770,495,0.34233
496,300355.8525,496,884862.6873,496,266630,496,0.34224
497,300127.8119,497,887761.201,497,265900,497,0.34092
498,311447.4779,498,916318.6288,498,275380,498,0.34267
499,321381.2484,499,947312.61,499,283600,499,0.34206
500,323946.2929,500,957434.1745,500,285300,500,0.34119
501,327660.8315,501,963498.3205,501,287470,501,0.34285
502,331188.2329,502,976994.6399,502,289460,502,0.3418
503,334836.3407,503,988264.5076,503,291540,503,0.34163
504,338502.5405,504,995197.3761,504,293620,504,0.34291
505,332984.2473,505,982174.277,505,287750,505,0.34184
506,335289.5322,506,989029.5118,506,288830,506,0.34182
507,329262.2677,507,967815.7615,507,282750,507,0.34298
508,319755.1177,508,943277.8101,508,273730,508,0.3418
509,310123.4368,509,913577.7643,509,264660,509,0.34226
510,302835.9177,510,890573.999,510,257640,510,0.34282
511,283533.105,511,836394.0445,511,240130,511,0.34181
512,274614.7839,512,807986.899,512,231530,512,0.34266
513,260324.1991,513,766101.1206,513,218500,513,0.34259
514,245462.9924,514,724505.9521,514,205110,514,0.34162
515,234595.3151,515,689685.4211,515,195160,515,0.34292
516,217004.1332,516,639202.2541,516,179680,516,0.34229
517,206993.8703,517,610186.3726,517,170590,517,0.34204
518,189866.2985,518,558472.4657,518,155750,518,0.34275
519,177605.8862,519,524203.8729,519,145020,519,0.34163
520,168547.0902,520,496910.3931,520,136990,520,0.342
521,156536.9761,521,461065.7273,521,126620,521,0.34231
522,144638.9711,522,426460.8626,522,116440,522,0.34197
523,134180.5411,523,395395.9756,523,107510,523,0.34216
524,125962.2787,524,370946.3247,524,100450,524,0.34236
525,114998.6704,525,339248.8407,525,91280,525,0.3418
526,104860.479,526,308969.2931,526,82820,526,0.34219
527,96664.76853,527,284320.7492,527,75970,527,0.34276
528,88125.14636,528,259875.9301,528,68920,528,0.34192
529,83406.75155,529,245765.1734,529,64910,529,0.34218
530,74537.68657,530,219431.7728,530,57730,530,0.34247
531,67681.59043,531,199842.2962,531,52130,531,0.3415
532,60807.93319,532,178792.1998,532,46580,532,0.34288
533,54220.35815,533,159712.447,533,41310,533,0.34228
534,50967.44599,534,150427.5761,534,38620,534,0.34164
535,45466.59902,535,133690.9554,535,34270,535,0.34286
536,41311.32016,536,121828.0674,536,30950,536,0.34191
537,39268.70592,537,115719.271,537,29240,537,0.34215
538,36885.40727,538,108492.5673,538,27300,538,0.34276
539,30786.54396,539,90857.41103,539,22660,539,0.34167
540,28273.64586,540,83282.63572,540,20690,540,0.34229
541,26699.23063,541,78575.11698,541,19420,541,0.34258
542,24699.59839,542,72897.22666,542,17860,542,0.34165
543,21483.94414,543,63224.882,543,15450,543,0.34259
544,19774.31159,544,58283.42454,544,14140,544,0.34208
545,18919.77818,545,55733.14734,545,13450,545,0.34227
546,16445.55216,546,48444.25258,546,11630,546,0.34227
547,15215.01017,547,44794.11942,547,10700,547,0.34246
548,14213.15031,548,41922.3137,548,9940,548,0.34185
549,12660.58589,549,37265.27901,549,8810,549,0.34253
550,11613.69329,550,34197.96154,550,8040,550,0.34239
