PbBr2  (mL),Cs-oleate (mL),Aceton (mL)
0.271186441,0.050847458,0.677966102
0.317460317,0.047619048,0.634920635
0.358208955,0.044776119,0.597014925
0.394366197,0.042253521,0.563380282
0.426666667,0.04,0.533333333
0.455696203,0.037974684,0.506329114
0.481927711,0.036144578,0.481927711
0.505747126,0.034482759,0.459770115
0.527472527,0.032967033,0.43956044
0.547368421,0.031578947,0.421052632
0.565656566,0.03030303,0.404040404
0.582524272,0.029126214,0.388349515
0.598130841,0.028037383,0.373831776
0.612612613,0.027027027,0.36036036
0.588235294,0.019607843,0.392156863
0.582524272,0.029126214,0.388349515
0.576923077,0.038461538,0.384615385
0.571428571,0.047619048,0.380952381
0.566037736,0.056603774,0.377358491
0.560747664,0.065420561,0.373831776
0.555555556,0.074074074,0.37037037
0.550458716,0.082568807,0.366972477
0.545454545,0.090909091,0.363636364
0.416666667,0.027777778,0.555555556
0.410958904,0.04109589,0.547945205
0.405405405,0.054054054,0.540540541
0.4,0.066666667,0.533333333
0.394736842,0.078947368,0.526315789
0.38961039,0.090909091,0.519480519
0.384615385,0.102564103,0.512820513
0.379746835,0.113924051,0.506329114
0.375,0.125,0.5
0.266666667,0.066666667,0.666666667
0.262295082,0.081967213,0.655737705
0.258064516,0.096774194,0.64516129
0.253968254,0.111111111,0.634920635
0.25,0.125,0.625
0.722891566,0.036144578,0.240963855
0.681818182,0.034090909,0.284090909
0.64516129,0.032258065,0.322580645
0.612244898,0.030612245,0.357142857
0.582524272,0.029126214,0.388349515
0.555555556,0.027777778,0.416666667
0.530973451,0.026548673,0.442477876
0.566037736,0.056603774,0.377358491
0.517241379,0.051724138,0.431034483
0.476190476,0.047619048,0.476190476
0.441176471,0.044117647,0.514705882
0.410958904,0.04109589,0.547945205
0.384615385,0.038461538,0.576923077
0.361445783,0.036144578,0.602409639
0.372093023,0.162790698,0.465116279
0.333333333,0.145833333,0.520833333
0.301886792,0.132075472,0.566037736
0.275862069,0.120689655,0.603448276
0.253968254,0.111111111,0.634920635
0.235294118,0.102941176,0.661764706
0.219178082,0.095890411,0.684931507
0.494845361,0.092783505,0.412371134
0.461538462,0.098901099,0.43956044
0.483516484,0.076923077,0.43956044
0.494623656,0.075268817,0.430107527
0.489795918,0.102040816,0.408163265
0.479166667,0.104166667,0.416666667
0.468085106,0.106382979,0.425531915
0.456521739,0.108695652,0.434782609
0.505263158,0.073684211,0.421052632
0.47826087,0.086956522,0.434782609
0.489361702,0.085106383,0.425531915
0.5,0.083333333,0.416666667
0.47311828,0.096774194,0.430107527
0.484210526,0.094736842,0.421052632
0.5,0.065217391,0.434782609
0.488888889,0.066666667,0.444444444
0.242424242,0.151515152,0.606060606
0.471910112,0.078651685,0.449438202
0.5,0.1,0.4
0.444444444,0.111111111,0.444444444
0.268656716,0.134328358,0.597014925
0.449438202,0.101123596,0.449438202
0.510638298,0.063829787,0.425531915
0.264705882,0.147058824,0.588235294
0.268656716,0.134328358,0.597014925
0.289855072,0.130434783,0.579710145
0.466666667,0.088888889,0.444444444
0.477272727,0.068181818,0.454545455
0.505050505,0.090909091,0.404040404
